CV_RMSE,Seed,Cost of Operation,Control RMSE,Number of Violations
0.01,303,tensor(12348.7236),tensor(30.0060),1153
0.01,297,tensor(12353.3740),tensor(29.9568),1135
0.01,373,tensor(12343.4639),tensor(30.1149),1185
0.01,1193,tensor(12365.7529),tensor(30.0495),1165
0.01,1787,tensor(12350.0049),tensor(30.0541),1173
0.03,303,tensor(12344.6055),tensor(30.6817),1200
0.03,297,tensor(12352.3271),tensor(30.7346),1168
0.03,373,tensor(12327.5908),tensor(31.2444),1254
0.03,1193,tensor(12388.1982),tensor(31.0561),1206
0.03,1787,tensor(12347.3584),tensor(30.9398),1224
0.05,303,tensor(12340.9697),tensor(32.3083),1260
0.05,297,tensor(12356.0488),tensor(32.3302),1204
0.05,373,tensor(12318.0967),tensor(33.2368),1293
0.05,1193,tensor(12416.7383),tensor(32.9559),1229
0.05,1787,tensor(12346.4717),tensor(32.7109),1270
0.07,303,tensor(12342.4678),tensor(34.6770),1313
0.07,297,tensor(12362.8232),tensor(34.6540),1256
0.07,373,tensor(12309.5977),tensor(35.8689),1337
0.07,1193,tensor(12448.6572),tensor(35.5965),1269
0.07,1787,tensor(12348.2080),tensor(35.1093),1321
0.09,303,tensor(12348.7646),tensor(37.6563),1345
0.09,297,tensor(12375.0566),tensor(37.4697),1286
0.09,373,tensor(12307.5068),tensor(39.1854),1355
0.09,1193,tensor(12484.5244),tensor(38.8070),1310
0.09,1787,tensor(12353.4570),tensor(38.0897),1346
0.11,303,tensor(12357.4941),tensor(41.0712),1388
0.11,297,tensor(12394.9141),tensor(41.0706),1325
0.11,373,tensor(12310.6162),tensor(43.0108),1380
0.11,1193,tensor(12522.2168),tensor(42.5593),1336
0.11,1787,tensor(12360.6699),tensor(41.6114),1374
0.13,303,tensor(12367.1504),tensor(44.9078),1417
0.13,297,tensor(12416.3301),tensor(44.9121),1364
0.13,373,tensor(12318.3789),tensor(47.1393),1414
0.13,1193,tensor(12567.6738),tensor(46.6893),1360
0.13,1787,tensor(12371.8799),tensor(45.4150),1401
0.15,303,tensor(12359.8115),tensor(49.1907),1449
0.15,297,tensor(12445.0264),tensor(49.3085),1388
0.15,373,tensor(12331.9443),tensor(51.5683),1434
0.15,1193,tensor(12614.8799),tensor(50.9903),1373
0.15,1787,tensor(12385.5850),tensor(49.5393),1424
