CV_RMSE,Seed,Cost of Operation,Control RMSE,Number of Violations
0.01,303,tensor(12246.8350),tensor(30.1671),1127
0.01,297,tensor(12250.5049),tensor(30.2770),1118
0.01,373,tensor(12241.8066),tensor(30.1195),1168
0.01,1193,tensor(12261.0508),tensor(30.1062),1135
0.01,1787,tensor(12247.9727),tensor(30.3632),1145
0.03,303,tensor(12243.5479),tensor(31.0226),1167
0.03,297,tensor(12252.0791),tensor(31.3197),1139
0.03,373,tensor(12225.9121),tensor(31.0194),1236
0.03,1193,tensor(12286.9092),tensor(30.8518),1170
0.03,1787,tensor(12244.7871),tensor(31.5633),1212
0.05,303,tensor(12243.7637),tensor(32.7125),1234
0.05,297,tensor(12257.7686),tensor(33.0529),1186
0.05,373,tensor(12216.1396),tensor(32.7868),1272
0.05,1193,tensor(12315.5264),tensor(32.5344),1199
0.05,1787,tensor(12246.0957),tensor(33.5125),1256
0.07,303,tensor(12247.2041),tensor(35.2023),1274
0.07,297,tensor(12268.9131),tensor(35.4514),1243
0.07,373,tensor(12210.0283),tensor(35.3345),1321
0.07,1193,tensor(12345.9785),tensor(35.1342),1240
0.07,1787,tensor(12250.8623),tensor(36.1472),1306
0.09,303,tensor(12253.3594),tensor(38.2871),1317
0.09,297,tensor(12282.7568),tensor(38.2160),1284
0.09,373,tensor(12209.2959),tensor(38.4821),1340
0.09,1193,tensor(12382.8975),tensor(38.2333),1274
0.09,1787,tensor(12257.8564),tensor(39.1909),1330
0.11,303,tensor(12263.4365),tensor(41.7107),1352
0.11,297,tensor(12303.3008),tensor(41.3334),1321
0.11,373,tensor(12213.5732),tensor(42.1156),1370
0.11,1193,tensor(12424.1611),tensor(41.7552),1304
0.11,1787,tensor(12267.8447),tensor(42.7045),1356
0.13,303,tensor(12277.7344),tensor(45.5492),1382
0.13,297,tensor(12329.3135),tensor(44.9083),1362
0.13,373,tensor(12222.6436),tensor(46.1199),1408
0.13,1193,tensor(12469.6582),tensor(45.7794),1319
0.13,1787,tensor(12280.7490),tensor(46.5300),1387
0.15,303,tensor(12297.3467),tensor(49.7145),1412
0.15,297,tensor(12360.6045),tensor(48.7334),1392
0.15,373,tensor(12238.8672),tensor(50.3408),1433
0.15,1193,tensor(12519.3535),tensor(50.0833),1348
0.15,1787,tensor(12296.7520),tensor(50.5140),1408
